Anglican Nonconformist
dissimilar similar
dissimilarity similarity
dissimilate assimilate
dissimilitude similitude
dissociate associate
dissonance harmony
dissuade convince
dissuade influence
dissuade persuade
dissuade placate
dissuade reassure
dissuasion persuasion
dissuasive persuasive
distal mesial
distal proximal
distant close
distinct indistinct
distinctness indistinctness
distinguishable indistinguishable
distort ignore
distract motivate
distress gratify
distributary tributary
distributed concentrated
distribution concentration
distributive collective
distrust trust
distrustful trustful
distrustfully trustfully
disunify unify
disunion union
ditch crash
diurnal nocturnal
diverge converge
divergence convergence
divergency convergency
divergent convergent
divergent_thinking convergent_thinking
diversified undiversified
diversify specialise
diversify specialize
divert pump
divest acquire
divest invest
divest operate
divest own
divest privatize
divest transfer
divide multiply
divide unite
divided united
diving_duck dabbling_duck
divisible indivisible
do feel
do know
do love
do say
do talk
do try
docile stubborn
dock berth
dock moor
dock station
dock undock
doctrine_of_analogy apophatism
doctrine_of_analogy cataphatism
document allege
documented undocumented
dodge answer
dodge ignore
dodge throw
dole lavish
dole withhold
dolichocephalic brachycephalic
domestic foreign
domestic undomestic
domestic_flight international_flight
dominant recessive
dominant subordinate
dominate miss
domineering submissive
don grab
don pull
don unzip
don wave
donate borrow
donate buy
donate purchase
donate sell
doom complicate
dormant active
dorsal ventral
double single
double-barreled single-barreled
double-breasted single-breasted
doubt infer
douse burn
dove hawk
dovishness hawkishness
down up
downgrade cut
downgrade rate
downgrade upgrade
download scan
download stream
download upload
downmarket upmarket
downplay acknowledge
downplay discount
downplay emphasize
downplay explain
downplay overstate
downriver upriver
downsize expand
downsize upgrade
downstage upstage
downstairs upstairs
downstream upstream
downtick uptick
downtime uptime
downtown uptown
downward upward
downwardly upwardly
downwards upwards
downwind upwind
draftee volunteer
drain freeze
drain pump
drain siphon
drained undrained
dramatic lyric
dramatic undramatic
dramatically undramatically
dress pant
dress undress
dress_down dress_up
dress_up dress_down
drill knock
drink inhale
drink sip
drink swig
drinkable undrinkable
drinker nondrinker
driver nondriver
drop add
drop climb
drop dip
drop rise
drop_out enter
drunkenness soberness
dry freeze
dry phlegmy
dry snip
dry sweet
dry wet
dry-bulb_thermometer wet-bulb_thermometer
dry_fly wet_fly
dry_season rainy_season
dryness wetness
duck ignore
due undue
dull bright
dull lively
dull sharp
dull sharpen
dull whet
dullness brightness
dullness sharpness
dumb_bomb smart_bomb
dump burn
dump spill
dump spray
dump wash
dupe fool
dye cry
dye drown
dye grieve
dying nascent
dynamic undynamic
dysgenic eugenic
dysgenics eugenics
dysphemism euphemism
dysphemistic euphemistic
dysphoria euphoria
dysphoric euphoric
dystopia utopia
dystopian utopian
e-mail snail_mail
eager uneager
eared earless
earless eared
earliness lateness
early late
early middle
earmark approve
earmark provide
earned unearned
earned_run unearned_run
earthly heavenly
ease difficulty
ease exacerbate
ease tighten
ease worsen
east west
easterly westerly
eastern western
easy difficult
easy uneasy
easy_money tight_money
eat boil
eat crave
eat weigh
eat_in eat_out
eat_out eat_in
eating_apple cooking_apple
ebb tide
ebbtide flood_tide
ebracteate bracteate
eccentric concentric
eccentricity concentricity
eccrine apocrine
ecdemic endemic
ecdemic epidemic
echo contradict
echo dispute
echoic nonechoic
ectomorphic endomorphic
ectomorphic mesomorphic
edge climb
edge rise
edible inedible
edifying unedifying
educated uneducated
effective ineffective
effectively ineffectively
effectiveness ineffectiveness
effector receptor
effectually ineffectually
efferent afferent
effervescent noneffervescent
efficacious inefficacious
efficaciously inefficaciously
efficacy inefficacy
efficiency inefficiency
efficient inefficient
efficiently inefficiently
efflux influx
effortful effortless
effortfulness effortlessness
effortless effortful
effortlessness effortfulness
egalitarian elitist
egoism altruism
egoistic altruistic
egress ingress
elaborate refute
elastic inelastic
elasticity inelasticity
elate depress
elated dejected
elation depression
elect appoint
elective appointive
electrolytic_cell voltaic_cell
electronic_mail snail_mail
elegance inelegance
elegant inelegant
elegantly inelegantly
elevate bring
eligibility ineligibility
eligible ineligible
elitist egalitarian
eloquently ineloquently
email snail_mail
embark disembark
embarkation disembarkation
embarrass trust
embarrassment disembarrassment
embed bundle
embed decode
embed insert
embezzle misappropriate
embody inspire
embolden deter
embolden weaken
embrace abandon
embrace deride
embrace ignore
embrace oppose
embrace reject
embrace ridicule
emersion immersion
emigrate immigrate
emit absorb
emit transmit
emmetropic ametropic
emotional cerebral
emotional unemotional
emotional_person unemotional_person
emotionality unemotionality
emotionally unemotionally
emphasise neglect
emphasize praise
empirical theoretical
empirically theoretically
employable unemployable
employed unemployed
employee employer
employer employee
employment unemployment
empower oppress
empower prohibit
emptiness fullness
empty fill
empty full
emulsify demulsify
enable disable
enable discourage
enable hinder
enabling disabling
enact abolish
enact propose
enact repeal
enchant disenchant
enchanted disenchanted
encircle overrun
enclosed unenclosed
encode decode
encounter found
encourage discourage
encourage forbid
encourage restrict
encouragement discouragement
encouraging discouraging
encouragingly discouragingly
encrypt delete
encumbered unencumbered
end begin
end beginning
end continue
end escalate
end middle
end start
end-stopped run-on
endanger erode
endanger harm
endanger hinder
endanger undermine
endemic cosmopolitan
endemic ecdemic
endemic epidemic
endergonic exergonic
ending beginning
endocentric exocentric
endocrine exocrine
endoergic exoergic
endogamous autogamous
endogamous exogamous
endogamy exogamy
endogenic exogenic
endogenous exogenous
endomorphic ectomorphic
endomorphic mesomorphic
endorse challenge
endorse criticize
endorse denounce
endorse oppose
endorse reject
endorse veto
endothermic exothermic
endotoxin exotoxin
endowed unendowed
endure ignore
endure remember
energetic lethargic
energise de-energise
energize alienate
energize de-energize
energize hurt
enforce exempt
enforce repeal
enforce revoke
enforce violate
enforceable unenforceable
enforced unenforced
enfranchise disenfranchise
enfranchised disenfranchised
enfranchisement disenfranchisement
engage alienate
engage disengage
engage please
engagement non-engagement
engender undermine
enjoin forbid
enjoin void
enjoy have
enjoy suffer
enlarge curtail
enlarge reduce
enlarge restrict
enlightened unenlightened
enlightening unenlightening
enlightenment unenlightenment
enlist discharge
enliven deaden
enlivened unenlivened
enrich deprive
enrich impoverish
ensure undermine
entail constitute
entail ensure
entail mean
entail preclude
entangle disentangle
enter drop_out
enter exit
enterprising unenterprising
entertain bore
enthrone dethrone
enthusiastic unenthusiastic
enthusiastically unenthusiastically
entice discourage
entomophilous anemophilous
entozoic epizoic
environmentalism hereditarianism
envision fear
envision intend
envy pity
epidemic ecdemic
epidemic endemic
epizoic entozoic
equal differ
equal unequal
equality inequality
equally unequally
equatorial polar
equilibrium disequilibrium
equipped unequipped
equitable inequitable
equitably inequitably
equity inequity
equivalence nonequivalence
equivocal unequivocal
equivocalness unequivocalness
eradicable ineradicable
erase record
erect burn
erect unerect
eremite cenobite
eremitic cenobitic
erode bolster
erode boost
erode endanger
erode increase
errancy inerrancy
escalate de-escalate
escalate defuse
escalate end
escape suffer
eschew embrace
escort ambush
esoteric exoteric
espouse endorse
espouse profess
espouse support
essential inessential
essentiality inessentiality
establish abolish
established unestablished
esteem disesteem
estimable contemptible
estimate forecast
estivate hibernate
estrous anestrous
estrus anestrus
ethical unethical
ethically unethically
eucaryotic procaryotic
eudemon cacodemon
eugenic dysgenic
eugenics dysgenics
eukaryote prokaryote
eukaryotic prokaryotic
euphemism dysphemism
euphemistic dysphemistic
euphonious cacophonous
euphoria dysphoria
euphoric dysphoric
eusporangiate leptosporangiate
evade face
evade seek
evade violate
even odd
even uneven
even-toed_ungulate odd-toed_ungulate
evenly unevenly
evenness unevenness
eventful uneventful
ever never
evergreen deciduous
evergreen_plant deciduous_plant
evil good
evilness goodness
evitable inevitable
evoke illustrate
evoke provoke
evolution devolution
exacerbate diminish
exacerbate ease
exacerbate lessen
exacerbate prompt
exacerbate provoke
exacerbate reduce
exacerbate stem
exact inexact
exactly inexactly
exactness inexactness
exaggerate ignore
exaggerate overstate
exaggerate trivialize
exaggerate underestimate
exaggerate underplay
exaggerate understate
exaugural inaugural
exceed decrease
exceed fall
exchangeability unexchangeability
exchangeable unexchangeable
excitable unexcitable
excite bore
excite disappoint
excite disconcert
excited unexcited
exciting unexciting
excitingly unexcitingly
exclude admit
exclude include
exclude require
exclusion inclusion
exclusive inclusive
excommunicate communicate
excoriate praise
exculpatory inculpatory
excusable inexcusable
excusably inexcusably
execute deport
execute kill
execute release
exempt authorize
exempt ban
exempt enforce
exempt forbid
exempt impose
exempt levy
exempt limit
exempt nonexempt
exempt prohibit
exempt require
exempt subsidize
exergonic endergonic
exert resist
exhale inhale
exhausted unexhausted
exhaustible inexhaustible
existence nonexistence
existent nonexistent
exit enter
exocentric endocentric
exocrine endocrine
exoergic endoergic
exogamous autogamous
exogamous endogamous
exogamy endogamy
exogenic endogenic
exogenous endogenous
exon intron
exonerate censure
exonerate convict
exonerate impeach
exonerate implicate
exonerate incriminate
exonerate indict
exonerate prosecute
exonerate punish
exoteric esoteric
exothermic endothermic
exotoxin endotoxin
expand contract
expand limit
expand reduce
expand restrict
expanded contracted
expansion contraction
expansive unexpansive
expatriate repatriate
expect get
expect see
expected unexpected
expectedness unexpectedness
expedience inexpedience
expediency inexpediency
expedient inexpedient
expediently inexpediently
expedite delay
expedite postpone
expel disarm
expel massacre
expel slaughter
expendable unexpendable
expensive cheap
expensively cheaply
expensiveness inexpensiveness
experience inexperience
experienced inexperienced
expert_witness lay_witness
expertly amateurishly
expired unexpired
explain downplay
explain ignore
explicable inexplicable
explicit implicit
explicitly implicitly
explicitness inexplicitness
explode implode
exploit ignore
exploited unexploited
exploratory nonexploratory
explosive nonexplosive
export consume
export import
export invest
exportable unexportable
expose cause
express local
express underscore
expressible inexpressible
expressively inexpressively
extant extinct
extended unextended
extensile nonextensile
extension flexion
extensive intensive
extensor flexor
exterior interior
exterminate deport
external internal
externally internally
extinct active
extinct extant
extinguish ignite
extinguishable inextinguishable
extracellular intracellular
extradite free
extradite prosecute
extramural intramural
extraordinariness ordinariness
extraordinary ordinary
extrasensory sensory
extraterritorial territorial
extraversion ambiversion
extraversion introversion
extricable inextricable
extrinsic intrinsic
extrospective introspective
extroversive ambiversive
extroversive introversive
extrovert introvert
extrusive intrusive
eyed eyeless
eyeless eyed
fabricate obtain
faced faceless
faceless faced
faceted unfaceted
facilitate hinder
facilitate restrict
factory-made homemade
factuality counterfactuality
facultative obligate
fail flunk
fail manage
fail pass
fail succeed
fail undergo
failing passing
failure success
faintheartedness stoutheartedness
fair foul
fair unfair
fair_ball foul_ball
fairly unfairly
fairness unfairness
faithful unfaithful
faithfully unfaithfully
faithfulness unfaithfulness
fall climb
fall firm
fall jump
fall rise
fall_asleep wake_up
fall_back gain
fall_short_of satisfy
fallibility infallibility
fallible infallible
falling rising
false true
falsehood truth
falsify correct
falsity truth
fame infamy
familiar strange
familiar unfamiliar
familiarity unfamiliarity
fan walk
fancy plain
far near
farm herd
farness nearness
farsighted nearsighted
fascinate bore
fascinate frighten
fascinate unsettle
fashionable unfashionable
fashionably unfashionably
fast slow
fast_lane slow_lane
fast_reactor thermal_reactor
fasten unfasten
fastened unfastened
fastidious unfastidious
fat thin
fat_person thin_person
fatal nonfatal
father mother
fathomable unfathomable
fatness leanness
fatty nonfat
fault blame
fault endorse
fauna flora
favor criticize
favor oppose
favor propose
favor reject
favor resist
favor want
favorable unfavorable
favorableness unfavorableness
favorably unfavorably
fax phone
fear contemplate
fear fearlessness
fearfully fearlessly
fearfulness fearlessness
fearlessly fearfully
fearlessness fear
fearlessness fearfulness
feasibility infeasibility
feathered unfeathered
feature resemble
feature sport
feature star
febrile afebrile
federal unitary
feed starve
feel do
feel enjoy
feel get
feel know
feel notice
feelingly unfeelingly
felicitous infelicitous
felicitously infelicitously
felicity infelicity
fell climb
fell gain
fell jump
fell rise
female androgynous
female male
female_aristocrat male_aristocrat
female_child male_child
female_monarch male_monarch
female_offspring male_offspring
female_parent male_parent
female_sibling male_sibling
femaleness maleness
feminine masculine
feminine neuter
femininity masculinity
fence swim
ferned fernless
fernless ferned
ferry airlift
ferry fly
fertile sterile
fertility infertility
few many
fewer more
fewest most
fictional nonfictional
fidelity infidelity
fight suffer
fight tolerate
figurative literal
figuratively literally
figure ground
file_in file_out
file_out file_in
filial parental
fill empty
filled unfilled
film premiere
financial nonfinancial
find found
find get
find like
find lose
fine coarse
finely coarsely
fingered fingerless
fingerless fingered
finish bat
finish clinch
finish clock
finish qualify
finish rank
finish score
finish shoot
finish start
finished unfinished
finite infinite
finitely infinitely
finiteness infiniteness
fire brandish
fire hire
fire hurl
fire lob
fire slam
firm fall
first last
first second
fissile nonfissile
fissionable nonfissionable
fit unfit
fitness unfitness
fixed unfixed
fixed-width_font proportional_font
fixedness looseness
flake chop
flake grate
flake shred
flake slice
flash-forward flashback
flashback flash-forward
flat contrasty
flat natural
flat sharp
flatten sharpen
flatter disparage
flattering unflattering
fledged unfledged
flee invade
fleece knit
flexibility inflexibility
flexible inflexible
flexibly inflexibly
flexion extension
flexor extensor
flight bus
flight crash
flip knock
float devalue
float sink
flood affect
flood_tide ebbtide
floored ceilinged
flora fauna
flour sugar
flout fulfill
flowering flowerless
flowerless flowering
fluency disfluency
flunk fail
fly crash
fly ferry
focus blur
focused unfocused
foe friend
foil sabre
fold unfold
follow precede
follower leader
following leading
folly wisdom
fool dupe
foolish wise
foolishly wisely
foot head
footed footless
footless footed
forbid allow
forbid authorize
forbid encourage
forbid exempt
forbid legalize
forbid limit
forbid permit
forbid require
forbid sanction
forceful forceless
forceless forceful
fore aft
forecast estimate
foreclose limit
forego accept
foreground background
forehand backhand
foreign domestic
foreign native
foreignness nativeness
foreshadow mirror
foreshadow reflect
forestall accelerate
forestall alleviate
forfeit claim
forget cherish
forget hate
forget mind
forget recall
forget remember
forgettable unforgettable
forgivably unforgivably
forgive despise
forgive judge
forgive punish
forgive reschedule
forgiving unforgiving
forgivingly unforgivingly
forgo accept
formal informal
formalism imitation
formality informality
formally informally
formed unformed
former latter
forte piano
fortify evacuate
fortissimo pianissimo
fortunate unfortunate
fortunately unfortunately
forward backward
forward reverse
fossorial cursorial
foster undermine
foul bounce
foul fair
foul_ball fair_ball
found check
found detect
found examine
found find
found leave
found lost
found recover
found retrieve
found seize
found throw
found uncover
found unearth
found use
fractional whole
fragrant malodorous
frail robust
framed unframed
fraternal identical
free apprehend
free behead
free bound
free confine
free convict
free extradite
free kidnap
free obstruct
free unfree
free wound
free_state slave_state
freelance salaried
freeze boil
freeze cut
freeze dry
freeze peel
freeze postpone
freeze restart
freeze unfreeze
frequent infrequent
frequently infrequently
fresh preserved
fresh salty
fresh stale
fresh_water saltwater
freshness staleness
fretted unfretted
friend foe
friendliness unfriendliness
friendly hostile
friendly unfriendly
frighten fascinate
frighten galvanize
frivolity seriousness
frivolous serious
front back
front rear
front_burner back_burner
frozen unfrozen
fruitful unfruitful
fruitfully fruitlessly
fruitfulness fruitlessness
fruitlessly fruitfully
fruitlessness fruitfulness
frustrate allow
fry bake
fry boil
fry peel
fry saute
fry steam
fuel dampen
fuel spark
fuel trigger
fueled unfueled
fulfill flout
fulfill violate
full empty
full thin
full-term premature
full-time half-time
full-time part-time
fullness emptiness
fumble catch
fumble grab
fumble muff
fumble return
fumble score
fumble scramble
function malfunction
functional nonfunctional
functional organic
functional_disorder organic_disorder
functioning malfunctioning
funded unfunded
funnel siphon
furnished unfurnished
furrowed unfurrowed
fuse defuse
fuse replicate
future past
future present
futurity pastness
futurity presentness
gabled hipped
gain fall_back
gain fell
gain lose
gain loss
gain reduce
gain regain
gallop jog
gaseous liquid
gaseous solid
gather lack
gather spread
gathered ungathered
geared ungeared
general local
general particular
general specific
general_agent special_agent
general_verdict special_verdict
generalist specialist
generality particularity
generalize specify
generally specifically
generative consumptive
generic varietal
generic_drug brand-name_drug
generic_wine varietal_wine
generosity stinginess
generous stingy
generous ungenerous
genuine counterfeit
genuineness spuriousness
geocentric heliocentric
geographic magnetic
geometrically linearly
germfree germy
germy germfree
get deserve
get feel
get find
get miss
get pitch
get score
get_off get_on
get_on get_off
get_up go_to_bed
get_well get_worse
get_worse get_well
girl boy
give take
glad sad
gladden sadden
glamorize trivialize
glazed unglazed
glorify trivialize
glorious inglorious
gloved gloveless
gloveless gloved
gluttonous abstemious
glycerolize deglycerolize
gnostic agnostic
go come
go no-go
go_off go_on
go_on go_off
go_out come_in
go_to_bed get_up
godliness ungodliness
good bad
good evil
good-natured ill-natured
good_egg bad_egg
good_fortune misfortune
good_guy bad_guy
good_health ill_health
good_humor ill_humor
good_luck bad_luck
good_nature ill_nature
good_part weak_part
good_person bad_person
good_weather bad_weather
goodness badness
goodness evilness
govern bar
grab miss
grab score
grab wield
graceful awkward
gracefully gracelessly
gracefully ungracefully
gracefulness awkwardness
gracelessly gracefully
gracious ungracious
graciously ungraciously
graciousness ungraciousness
gradual steep
gradual sudden
gradualness abruptness
graft transplant
grammatical ungrammatical
grammatically ungrammatically
grand_larceny petit_larceny
grant deny
grant loan
grant refuse
grant reject
grant renew
grant revoke
grant withdraw
grant withhold
granter withholder
grassless grassy
grassy grassless
grate chop
grate cube
grate dice
grate flake
grate grind
grate slice
grate sliver
grateful ungrateful
gratefully ungratefully
gratify disappoint
gratify distress
gratitude ingratitude
gravitation levitation
gravity levity
graze breed
graze pierce
great terrible
greater lesser
green ripe
greenness ripeness
greet assure
greet tell
greet warn
gregarious ungregarious
grill boil
grill saute
grind cube
grind grate
grind slice
groomed ungroomed
gross net
ground figure
ground_stroke volley
grow decline
grow decrease
grow shrink
grudgingly ungrudgingly
guard attack
guard blockade
guard inspect
guard raid
guess hate
guess laugh
guess memorize
guided unguided
guilt innocence
guilty innocent
gusseted ungusseted
gut repeal
gutless gutsy
gutlessness gutsiness
gutsiness gutlessness
gutsy gutless
guzzle sip
hail condemn
hail criticize
hairiness hairlessness
hairless hairy
hairlessness hairiness
hairy hairless
half whole
half-time full-time
halt continue
halt resume
halve shred
ham cheese
hammer beat
hammer belt
hamper derail
hamper spur
hand_mower power_mower
handed handless
handled handleless
handleless handled
handless handed
handmade machine-made
handwash machine_wash
hang throw
haploid diploid
haploid polyploid
happily sadly
happily unhappily
happiness sadness
happiness unhappiness
happy unhappy
harbor voice
harbour shelter
hard soft
hard_drug soft_drug
hard_water soft_water
hardball softball
harden soften
hardened soft
hardhearted softhearted
hardness softness
hardware software
harm benefit
harm endanger
harm threaten
harmful harmless
harmfully harmlessly
harmless harmful
harmlessly harmfully
harmonic nonharmonic
harmonious inharmonious
harmony dissonance
harness unharness
hasten avert
hasten delay
hasten forestall
hasten halt
hasten hinder
hasten impede
hasten prevent
hasten slow
hatch nest
hate admire
hate adore
hate believe
hate embrace
hate forget
hate know
hate love
hate see
hate want
hateful lovable
hatless hatted
hatted hatless
haul burn
have enjoy
have lack
hawk dove
hawkishness dovishness
head foot
head rear
head tail
headed headless
headed unheaded
headless headed
heal stitch
healthful unhealthful
healthfulness unhealthfulness
healthy unhealthy
hear dismiss
hear ignore
hear know
hear yell
hearing deaf
hearten dishearten
heat cool
heavenly earthly
heavily lightly
heaviness lightness
heavy light
heavy-duty light-duty
heavy-footed light-footed
hedge leverage
heed disregard
heed reject
heedful heedless
heedfulness heedlessness
heedless heedful
heedlessness heedfulness
heighten dampen
heighten diminish
heighten lessen
heighten weaken
heir_apparent heir_presumptive
heir_presumptive heir_apparent
heliocentric geocentric
help discourage
help harm
help hurt
helpful unhelpful
helpfully unhelpfully
herbivorous carnivorous
herbivorous insectivorous
herbivorous omnivorous
herd kill
here there
hereditarianism environmentalism
hereness thereness
hesitantly unhesitatingly
heterocercal homocercal
heterocercal_fin homocercal_fin
heterodactyl zygodactyl
heterodactyl_foot zygodactyl_foot
heteroecious autoecious
heterogeneity homogeneity
heterogeneous homogeneous
heterogenous autogenous
heterologous analogous
heterologous autologous
heterologous homologous
heterosexual bisexual
heterosexual homosexual
heterotrophic autotrophic
heterozygosity homozygosity
heterozygous homozygous
heuristic algorithmic
hibernate aestivate
hibernate estivate
hide disclose
hide show
hide stash
hierarchical nonhierarchical
high low
high low_spirits
high-interest low-interest
high-resolution low-resolution
high-rise low-rise
high-sudsing low-sudsing
high-tech low-tech
high-tension low-tension
high_explosive low_explosive
high_pitch low_pitch
high_quality low_quality
high_relief low_relief
high_sea territorial_waters
high_season off-season
high_status low_status
high_tide low_tide
highland lowland
highness lowness
hike cut
hinder accelerate
hinder constrain
hinder facilitate
hinder spur
hinder stimulate
hipless hipped
hipped gabled
hipped hipless
hire fire
hire reassign
historical ahistorical
hit miss
hit nail
hit throw
hit walk
hitch unhitch
hoard resell
hoe plough
hoist burn
hold cancel
hold let_go_of
hold postpone
hold seek
hole putt
holiness unholiness
holism atomism
holistic atomistic
hollow solid
hollowness solidity
holophytic holozoic
holozoic holophytic
holy unholy
home away
home_game away_game
homemade factory-made
homeopathic allopathic
homeopathy allopathy
homocercal heterocercal
homocercal_fin heterocercal_fin
homogeneity heterogeneity
homogeneous heterogeneous
homogenise curdle
homogenize curdle
homologous analogous
homologous autologous
homologous heterologous
homosexual bisexual
homosexual heterosexual
homozygosity heterozygosity
homozygous heterozygous
honest dishonest
honestly dishonestly
honesty dishonesty
honey salt
honor dishonor
honorable dishonorable
honorableness dishonorableness
honorably dishonorably
hook trip
hook unhook
hop_on hop_out
hop_out hop_on
hope despair
hopeful hopeless
hopefully hopelessly
hopefulness hopelessness
hopeless hopeful
hopelessly hopefully
hopelessness hopefulness
horizontal inclined
horizontal vertical
horned hornless
hornless horned
hospitable inhospitable
hospitableness inhospitableness
hospitably inhospitably
hospitality inhospitality
host attend
host parasite
hostile amicable
hostile friendly
hot cold
hot_war cold_war
hotness coldness
house adjoin
hover whirl
hug pat
human nonhuman
humane inhumane
humanely inhumanely
humaneness inhumaneness
humanize dehumanize
humble proud
humidify dehumidify
humility conceit
humility pride
humorless humorous
humorlessly humorously
humorous humorless
humorously humorlessly
hungry thirsty
hunt herd
hurl fire
hurl lob
hurl use
hurried unhurried
hurriedly unhurriedly
hurt benefit
hurt boost
hurt help
husband wife
husbandly wifely
hydrate dehydrate
hydric mesic
hydric xeric
hydrogenate dehydrogenate
hydrokinetic hydrostatic
hydrophilic hydrophobic
hydrophobic hydrophilic
hydrostatic hydrokinetic
hydrous anhydrous
hygienically unhygienically
hypercalcemia hypocalcemia
hypercapnia hypocapnia
hypercatalectic acatalectic
hypercatalectic catalectic
hyperglycemia hypoglycemia
hyperkalemia hypokalemia
hypernatremia hyponatremia
hyperopia myopia
hyperparathyroidism hypoparathyroidism
hyperpigmentation hypopigmentation
hyperpnea hypopnea
hypersomnia insomnia
hypertension hypotension
hypertensive hypotensive
hypertensive normotensive
hyperthermia hypothermia
hyperthyroidism hypothyroidism
hypertonia hypotonia
hypertonic hypotonic
hypertonic isotonic
hypertonicity hypotonicity
hypertonus hypotonus
hypertrophied atrophied
hypervolemia hypovolemia
hypocalcemia hypercalcemia
hypocapnia hypercapnia
hypoglycemia hyperglycemia
hypokalemia hyperkalemia
hyponatremia hypernatremia
hypoparathyroidism hyperparathyroidism
hypopigmentation hyperpigmentation
hypopnea hyperpnea
hypotension hypertension
hypotensive hypertensive
hypotensive normotensive
hypothermia hyperthermia
hypothyroidism hyperthyroidism
hypotonia hypertonia
hypotonic hypertonic
hypotonic isotonic
hypotonicity hypertonicity
hypotonus hypertonus
hypovolemia hypervolemia
identical fraternal
identifiable unidentifiable
idiographic nomothetic
idle busy
idle run
idle work
igneous aqueous
ignite extinguish
ignite rekindle
ignoble noble
ignore accept
ignore acknowledge
ignore address
ignore dismiss
ignore embrace
ignore enforce
ignore explain
ignore know
ignore notice
ignore obey
ignore resist
ill well
ill-advised well-advised
ill-being well-being
ill-defined well-defined
ill-natured good-natured
ill_health good_health
ill_humor good_humor
ill_nature good_nature
illegal legal
illegality legality
illegibility legibility
illegible legible
illegibly legibly
illegitimacy legitimacy
illegitimate legitimate
illegitimately legitimately
illiberality liberality
illicit licit
illicitly licitly
illicitness licitness
illiteracy literacy
illiterate literate
illness wellness
illogical logical
illogicality logicality
illogically logically
illogicalness logicalness
illuminate obscure
illustrate evoke
imaginatively unimaginatively
imagine relive
imbalance balance
imitate like
imitation formalism
imitative nonimitative
immanent transeunt
immaterial material
immateriality materiality
immature mature
immaturely maturely
immaturity maturity
immeasurable measurable
immeasurably measurably
immediacy mediacy
immediate mediate
immersion emersion
immigrate emigrate
immiscible miscible
immobile mobile
immobility mobility
immoderate moderate
immoderately moderately
immoderation moderation
immodest modest
immodestly modestly
immodesty modesty
immoral moral
immorality morality
immorally morally
immortal mortal
immortality mortality
immotility motility
immovability movability
immovableness movableness
immunocompetence immunodeficiency
immunocompetent immunodeficient
immunodeficiency immunocompetence
immunodeficient immunocompetent
immutability mutability
immutable mutable
immutableness mutableness
impact jeopardize
impaired unimpaired
impalpability palpability
impalpable palpable
impartial partial
impartiality partiality
impassable passable
impatience patience
impatient patient
impatiently patiently
impeach exonerate
impede accelerate
impede hasten
impede restrict
impenetrability penetrability
impenetrable penetrable
impenitent penitent
impenitently penitently
imperative beseeching
imperceptibility perceptibility
imperceptible perceptible
imperceptibly perceptibly
imperfect perfect
imperfectibility perfectibility
imperfection perfection
imperfectly perfectly
imperishable perishable
impermanence permanence
impermanent permanent
impermeability permeability
impermeable permeable
impermissibility permissibility
impermissible permissible
impermissibly permissibly
impersonal personal
impersonally personally
impervious pervious
imperviousness perviousness
impiety piety
impious pious
implacable placable
implant repair
implant transplant
implausibility plausibility
implausible plausible
implicate exonerate
implicit explicit
implicitly explicitly
implode explode
imply mask
imply prompt
imply signify
impolite polite
impolitely politely
impoliteness politeness
impolitic politic
imponderable ponderable
import export
import manufacture
import produce
import smuggle
importance unimportance
important unimportant
impose abolish
impose lift
impose reinstate
impose relax
impose rescind
impose revoke
impose suspend
impose waive
impossibility possibility
impossible possible
impossibly possibly
impotence potence
impotency potency
impotent potent
impoverish enrich
impracticability practicability
impracticableness practicableness
impractical practical
impracticality practicality
imprecise precise
imprecisely precisely
impreciseness preciseness
imprecision precision
impressionable unimpressionable
impressive unimpressive
impressively unimpressively
imprison expel
imprison massacre
improbability probability
improbable probable
improper proper
improperly properly
improperness properness
impropriety propriety
improved unimproved
improvement decline
improvidence providence
improvident provident
improvidently providently
improvise memorize
improvise rehearse
imprudence prudence
imprudent prudent
imprudently prudently
impure pure
impurity purity
in-basket out-basket
in_hand out_of_hand
in_vitro in_vivo
in_vivo in_vitro
inability ability
inaccessibility accessibility
inaccessible accessible
inaccuracy accuracy
inaccurate accurate
inaccurately accurately
inaction action
inactivate activate
inactivate mutate
inactivation activation
inactive active
inactiveness activeness
inactivity activity
inadequacy adequacy
inadequate adequate
inadequately adequately
inadmissibility admissibility
inadmissible admissible
inadvertently advertently
inadvisability advisability
inadvisable advisable
inaesthetic aesthetic
inalienable alienable
inanimate animate
inanimateness animateness
inapplicability applicability
inappositeness appositeness
inappropriate appropriate
inappropriately appropriately
inappropriateness appropriateness
inaptitude aptitude
inaptness aptness
inarticulate articulate
inarticulately articulately
inattention attention
inattentive attentive
inattentiveness attentiveness
inaudibility audibility
inaudible audible
inaudibly audibly
inaugural exaugural
inauspicious auspicious
inauspiciously auspiciously
inauspiciousness auspiciousness
inboard outboard
inbred outbred
incalculable calculable
incapability capability
incapable capable
incapableness capableness
incapacity capacity
incarcerate hospitalize
incarnate disincarnate
incaution caution
incautious cautious
incautiously cautiously
incentive disincentive
incidental basic
incinerate cremate
incite suppress
incivility civility
inclement clement
inclination disinclination
inclined disinclined
inclined horizontal
inclined vertical
include exclude
inclusion exclusion
inclusive exclusive
incognizance cognizance
incoherence coherence
incoherent coherent
incoherently coherently
income outgo
incoming outgoing
incommensurate commensurate
incommodious commodious
incommutable commutable
incomparable comparable
incomparably comparably
incompatibility compatibility
incompatible compatible
incompatibly compatibly
incompetence competence
incompetent competent
incompetently competently
incomplete complete
incompleteness completeness
incomprehensibility comprehensibility
